Start,Success,RMSE,MAE,NFEV,Elapsed Seconds,v0,kappa,theta,xi,rho,Mean Absolute Relative Parameter Error
A,True,4.6242290337981084e-11,3.60137919486192e-11,12,2.304111167002702,0.040000000000932984,2.000000000254708,0.040000000001131804,0.3000000001551115,-0.6999999996728282,2.3268003839808998e-10
B,True,8.789158250445872e-14,7.849276784099857e-14,9,1.594807707995642,0.04000000000000282,2.0000000000001212,0.04000000000000022,0.30000000000002985,-0.6999999999999492,6.172615328922792e-14
C,True,3.981774287064988e-14,3.277378368693462e-14,19,3.3552586250007153,0.04000000000000014,2.0000000000000653,0.040000000000000396,0.30000000000002736,-0.699999999999941,4.4287919892262895e-14
D,True,3.008345507002697e-12,2.5739188558304703e-12,8,1.57938979199389,0.03999999999993771,1.9999999999797702,0.040000000000037256,0.299999999998051,-0.6999999999961015,4.933878834590374e-12
E,True,8.973767265021494e-14,7.327471962526033e-14,14,2.682242083013989,0.03999999999999675,1.9999999999996336,0.04000000000000168,0.30000000000001925,-0.6999999999999106,9.964714238937708e-14
