Start,Success,RMSE,MAE,NFEV,Elapsed Seconds,v0,kappa,theta,xi,rho,Mean Absolute Relative Parameter Error
A,True,0.05377308585845934,0.04197519849152007,12,2.212923250015592,0.03848411503416325,1.710831239601905,0.041345856292693904,0.3016337486578374,-0.6724555734673575,0.052184584256537936
B,True,0.05377308585841812,0.04197521978053718,10,1.7567594999854919,0.03848411718242804,1.7108234835479803,0.041345873341449554,0.30163383614725037,-0.6724539452739481,0.05218595788877698
C,True,0.05377308585884074,0.041975207338827446,19,3.3870556660112925,0.03848411636782047,1.710823206089191,0.041345880699888427,0.301634259850483,-0.6724529165591254,0.05218660288723065
D,True,0.053773085857833525,0.041975089764070696,10,1.687504583998816,0.0384841291679959,1.7108334689685987,0.0413458644345158,0.3016351320868688,-0.6724531502724237,0.05218594598724541
E,True,0.053773085857878954,0.041975185572052556,19,3.1362741670163814,0.03848412076022094,1.710826935014419,0.04134586784439324,0.30163411164406284,-0.672454013003152,0.05218573168122759
